from_station,to_station,observations,avg_delta_min,p90_delta_min,pct_worsening,km
汐止,五堵,633,2.07,3,94.8,1.3
蘇澳,蘇澳新,560,1.11,2,88.0,2.9
鶯歌,桃園,3304,1.06,2,65.8,5.6
山佳,樹林,3366,0.87,2,56.8,3.8
沙崙,中洲,1096,0.72,2,53.8,4.1
山里,鹿野,850,0.71,2,49.3,5.6
彰化,追分,937,0.68,2,44.0,5.4
冬山,蘇澳新,1154,0.65,1,59.5,4.7
竹南,談文,941,0.57,2,41.6,4.0
西勢,潮州,990,0.57,2,43.5,7.4
苗栗,竹南,1791,0.57,2,43.6,14.2
北埔,花蓮,591,0.56,1,45.5,4.4
日南,苑裡,1173,0.55,2,39.1,7.2
追分,成功,413,0.53,2,28.8,2.2
基隆,七堵,1551,0.53,2,36.3,5.0
東里,玉里,732,0.52,2,33.2,6.6
臺南,保安,3281,0.50,2,41.2,7.3
萬榮,光復,826,0.50,2,31.1,5.1
三民,瑞穗,819,0.48,1,31.4,8.7
加祿,枋寮,603,0.47,1,35.8,5.1
竹北,北新竹,2637,0.45,1,41.9,4.2
內壢,桃園,3291,0.43,1,37.3,5.9
銅鑼,竹南,278,0.42,1,36.3,24.1
追分,彰化,209,0.41,2,31.6,5.4
三貂嶺,雙溪,1936,0.41,2,32.3,5.4
四城,宜蘭,1920,0.41,1,33.2,3.6
臺中港,清水,1352,0.40,1,32.4,5.6
民雄,嘉義,1737,0.40,1,34.9,8.5
林邊,南州,1167,0.40,2,28.8,6.7
東澳,南澳,1384,0.38,1,30.8,6.8
成功,彰化,2116,0.38,1,30.2,6.4
海端,池上,791,0.34,1,24.9,5.1
三民,玉里,708,0.34,1,33.6,10.9
康樂,知本,606,0.34,1,26.6,6.9
二結,羅東,2105,0.34,1,32.8,3.0
北湖,湖口,2783,0.33,1,23.6,2.4
新埔,通霄,938,0.33,1,27.6,5.7
佳冬,枋寮,600,0.32,1,27.8,7.1
銅鑼,苗栗,1280,0.32,1,19.1,9.9
竹北,新竹,489,0.32,1,37.8,5.6
林內,斗六,2279,0.32,1,27.9,9.2
保安,臺南,2792,0.29,1,31.2,7.3
嘉義,南靖,2182,0.29,2,37.5,9.1
二結,宜蘭,1954,0.29,1,26.6,5.7
埔心,中壢,3259,0.28,2,30.6,5.6
美術館,新左營,2251,0.28,1,28.7,4.7
瑞源,關山,851,0.28,1,26.4,9.9
萬華,板橋,4751,0.28,1,23.0,4.3
富源,瑞穗,825,0.28,1,36.4,9.2
成功,追分,417,0.25,1,28.3,2.2
楠梓,新左營,2215,0.24,1,24.0,4.7
四腳亭,瑞芳,2068,0.23,1,20.1,4.5
鶯歌,山佳,3361,0.23,1,22.6,4.3
枋野,大武,603,0.22,1,19.6,21.1
和仁,和平,1370,0.22,1,16.8,7.5
談文,竹南,625,0.22,1,25.0,4.0
