station_id,name,county_name,pop_1km,villages_touched
1020,板橋,新北市,120702,49
1010,萬華,臺北市,102956,34
0990,松山,臺北市,86700,28
4430,正義,高雄市,75188,25
4420,科工館,高雄市,70503,27
1040,樹林,新北市,68997,25
4410,民族,高雄市,65248,35
1100,中壢,桃園市,62752,31
1080,桃園,桃園市,59139,30
0960,汐止,新北市,58852,23
3310,五權,臺中市,57755,19
3280,太原,臺中市,56133,19
4360,內惟,高雄市,55863,21
1000,臺北,臺北市,52992,22
4400,高雄,高雄市,52894,51
1090,內壢,桃園市,52778,21
4440,鳳山,高雄市,50830,26
3270,松竹,臺中市,48180,14
4350,左營,高雄市,48071,24
3290,精武,臺中市,46988,21
1210,新竹,新竹市,46963,43
4390,三塊厝,高雄市,46794,46
1030,浮洲,新北市,42585,19
4370,美術館,高雄市,41545,17
0970,汐科,新北市,41273,15
0900,基隆,基隆市,40768,50
3260,頭家厝,臺中市,40517,11
1190,北新竹,新竹市,40189,13
3360,彰化,彰化縣,38767,33
3390,員林,彰化縣,38586,21
0910,三坑,基隆市,37841,40
4210,大橋,臺南市,36656,16
3300,臺中,臺中市,36649,26
4340,新左營,高雄市,36448,8
1180,竹北,新竹縣,35837,10
4080,嘉義,嘉義市,35047,26
3230,豐原,臺中市,33171,22
3320,大慶,臺中市,31370,9
1192,新莊,新竹市,30792,11
4330,楠梓,高雄市,28830,13
4220,臺南,臺南市,27682,19
0980,南港,臺北市,26909,11
7190,宜蘭,宜蘭縣,26524,21
7160,羅東,宜蘭縣,26336,21
3250,潭子,臺中市,26094,7
5000,屏東,屏東縣,25900,20
4380,鼓山,高雄市,25770,22
1250,竹南,苗栗縣,25615,14
0950,五堵,新北市,24257,15
1050,南樹林,新北市,24123,12
2200,大甲,臺中市,23483,17
3160,苗栗,苗栗縣,23225,13
4310,岡山,高雄市,22791,15
3470,斗六,雲林縣,21810,20
7000,花蓮,花蓮縣,21473,11
3240,栗林,臺中市,21304,8
1075,鳳鳴,新北市,21138,10
4200,永康,臺南市,20770,9
1110,埔心,桃園市,20484,12
1070,鶯歌,新北市,19637,10
2220,清水,臺中市,19632,14
2230,沙鹿,臺中市,19528,14
6250,吉安,花蓮縣,18431,10
1194,六家,新竹縣,18315,6
1203,竹東,新竹縣,17409,11
3330,烏日,臺中市,16746,9
1170,新豐,新竹縣,16687,7
0930,七堵,基隆市,16349,11
1202,榮華,新竹縣,15700,9
1160,湖口,新竹縣,15653,10
1120,楊梅,桃園市,15376,11
3420,田中,彰化縣,15132,12
0940,百福,基隆市,14950,8
5050,潮州,屏東縣,14681,12
4070,嘉北,嘉義市,14244,10
1191,千甲,新竹市,14221,9
4120,新營,臺南市,13558,10
7390,暖暖,基隆市,11912,10
7380,四腳亭,新北市,11760,8
1060,山佳,新北市,10900,5
4450,後庄,高雄市,10767,3
3410,社頭,彰化縣,10378,8
3480,斗南,雲林縣,10059,9
1220,三姓橋,新竹市,10050,8
7360,瑞芳,新北市,9816,12
2250,大肚,臺中市,9702,7
4320,橋頭,高雄市,9220,9
1201,上員,新竹縣,9216,5
4050,大林,嘉義縣,9071,11
3340,新烏日,臺中市,9065,7
3350,成功,臺中市,9007,6
2180,苑裡,苗栗縣,8946,10
1193,竹中,新竹縣,8565,7
3220,后里,臺中市,8010,5
4300,路竹,高雄市,7950,8
2240,龍井,臺中市,7205,7
7150,冬山,宜蘭縣,7201,8
3370,花壇,彰化縣,7110,8
5090,林邊,屏東縣,7040,9
7361,海科館,基隆市,7006,7
3380,大村,彰化縣,6966,7
4470,六塊厝,屏東縣,6940,6
4290,大湖,高雄市,6870,9
7170,中里,宜蘭縣,6798,10
4460,九曲堂,高雄市,6682,5
0920,八堵,基隆市,6641,11
4060,民雄,嘉義縣,6607,8
4180,南科,臺南市,6563,6
4190,新市,臺南市,6518,5
4090,水上,嘉義縣,6310,7
7230,頭城,宜蘭縣,6284,10
4170,善化,臺南市,5784,4
5010,歸來,屏東縣,5470,8
7010,北埔,花蓮縣,5388,5
7362,八斗子,基隆市,5210,5
7180,二結,宜蘭縣,5204,7
3400,永靖,彰化縣,5142,10
7210,礁溪,宜蘭縣,5073,6
2130,後龍,苗栗縣,4942,8
6110,玉里,花蓮縣,4841,6
1150,北湖,新竹縣,4821,5
5070,南州,屏東縣,4481,9
2170,通霄,苗栗縣,4222,7
7120,蘇澳,宜蘭縣,3846,8
5120,枋寮,屏東縣,3789,8
1130,富岡,桃園市,3520,4
2260,追分,臺中市,3470,4
3430,二水,彰化縣,3456,11
3432,濁水,南投縣,3252,5
7200,四城,宜蘭縣,3199,7
6000,臺東,臺東縣,2901,4
4130,柳營,臺南市,2893,4
4150,隆田,臺南市,2853,4
3450,林內,雲林縣,2752,4
6160,光復,花蓮縣,2703,7
7220,頂埔,宜蘭縣,2658,7
6180,鳳林,花蓮縣,2630,6
1140,新富,桃園市,2567,6
3180,銅鑼,苗栗縣,2547,5
4250,保安,臺南市,2478,3
4260,仁德,臺南市,2445,4
7130,蘇澳新,宜蘭縣,2418,3
5060,崁頂,屏東縣,2408,3
3434,集集,南投縣,2311,8
5030,西勢,屏東縣,2231,5
3150,豐富,苗栗縣,2181,7
3435,水里,南投縣,2143,8
2210,臺中港,臺中市,2119,4
3460,石榴,雲林縣,2099,5
2190,日南,臺中市,2073,3
6070,池上,臺東縣,2059,5
6130,瑞穗,花蓮縣,2048,3
1205,九讚頭,新竹縣,2042,3
5999,潮州基地,屏東縣,2001,7
5020,麟洛,屏東縣,1908,6
5998,南方小站,屏東縣,1903,4
2150,白沙屯,苗栗縣,1837,4
5040,竹田,屏東縣,1834,6
5100,佳冬,屏東縣,1797,5
4110,後壁,臺南市,1767,5
1230,香山,新竹市,1705,4
6050,關山,臺東縣,1674,5
5240,康樂,臺東縣,1669,3
4100,南靖,嘉義縣,1601,7
7140,新馬,宜蘭縣,1600,5
3190,三義,苗栗縣,1565,3
5110,東海,屏東縣,1563,3
1204,橫山,新竹縣,1527,4
6080,富里,花蓮縣,1503,6
3140,造橋,苗栗縣,1441,5
3490,石龜,雲林縣,1391,5
1240,崎頂,苗栗縣,1371,1
4270,中洲,臺南市,1261,4
3170,南勢,苗栗縣,1233,3
3210,泰安,臺中市,1216,3
3431,源泉,彰化縣,1139,5
5080,鎮安,屏東縣,1094,4
2110,談文,苗栗縣,1062,4
7350,猴硐,新北市,1031,4
7310,雙溪,新北市,996,7
4140,林鳳營,臺南市,953,3
7030,新城,花蓮縣,952,5
5230,知本,臺東縣,950,2
4272,沙崙,臺南市,945,2
2120,大山,苗栗縣,938,3
4160,拔林,臺南市,914,4
4271,長榮大學,臺南市,899,4
6210,豐田,花蓮縣,831,2
6220,壽豐,花蓮縣,803,3
2160,新埔,苗栗縣,796,2
1206,合興,新竹縣,720,3
7332,十分,新北市,713,5
6230,平和,花蓮縣,660,4
5220,太麻里,臺東縣,637,4
6240,志學,花蓮縣,624,1
5130,加祿,屏東縣,610,2
1208,內灣,新竹縣,598,5
7090,南澳,宜蘭縣,571,3
5210,金崙,臺東縣,538,3
7020,景美,花蓮縣,521,2
7336,菁桐,新北市,497,5
7300,貢寮,新北市,434,4
2140,龍港,苗栗縣,433,4
3433,龍泉,南投縣,425,2
6020,鹿野,臺東縣,417,4
5190,大武,臺東縣,412,2
7290,福隆,新北市,362,3
7335,平溪,新北市,346,6
1207,富貴,新竹縣,337,2
6190,南平,花蓮縣,335,4
6140,富源,花蓮縣,332,5
7320,牡丹,新北市,318,2
3436,車埕,南投縣,316,4
5160,枋山,屏東縣,302,3
7240,外澳,宜蘭縣,287,2
7250,龜山,宜蘭縣,272,2
7334,嶺腳,新北市,265,5
6060,海端,臺東縣,264,2
7333,望古,新北市,248,3
5140,內獅,屏東縣,233,3
6100,東里,花蓮縣,213,3
6030,瑞源,臺東縣,211,2
6120,三民,花蓮縣,200,3
7270,大里,宜蘭縣,177,2
6090,東竹,花蓮縣,170,2
6010,山里,臺東縣,166,3
7110,永樂,宜蘭縣,134,2
7280,石城,宜蘭縣,134,3
6200,林榮新光,花蓮縣,124,2
6040,瑞和,臺東縣,123,2
6150,大富,花蓮縣,121,3
5200,瀧溪,臺東縣,118,2
7330,三貂嶺,新北市,117,4
7260,大溪,宜蘭縣,109,3
7331,大華,新北市,102,2
6170,萬榮,花蓮縣,88,3
7100,東澳,宜蘭縣,52,2
7040,崇德,花蓮縣,49,1
7080,武塔,宜蘭縣,31,3
5170,枋野,屏東縣,30,2
7070,漢本,宜蘭縣,29,1
7060,和平,花蓮縣,21,1
7050,和仁,花蓮縣,16,1
