station_id,name,county_name,cvs_1km,seven,familymart
1000,臺北,臺北市,117,55,38
1020,板橋,新北市,76,32,30
1100,中壢,桃園市,71,27,18
1080,桃園,桃園市,62,27,19
1010,萬華,臺北市,62,27,18
0990,松山,臺北市,61,19,19
1210,新竹,新竹市,61,21,12
0900,基隆,基隆市,56,19,14
3300,臺中,臺中市,43,16,16
1040,樹林,新北市,41,14,12
0960,汐止,新北市,41,13,18
0910,三坑,基隆市,40,16,9
1090,內壢,桃園市,38,15,9
4080,嘉義,嘉義市,36,12,7
4220,臺南,臺南市,35,19,8
1190,北新竹,新竹市,35,13,9
0970,汐科,新北市,35,9,17
1180,竹北,新竹縣,34,14,7
3360,彰化,彰化縣,33,14,8
4410,民族,高雄市,33,16,6
1030,浮洲,新北市,32,8,8
4400,高雄,高雄市,31,19,4
4210,大橋,臺南市,31,17,8
3280,太原,臺中市,31,11,11
3310,五權,臺中市,30,14,11
7190,宜蘭,宜蘭縣,28,10,9
3290,精武,臺中市,28,13,9
3270,松竹,臺中市,27,9,12
7160,羅東,宜蘭縣,27,11,7
4430,正義,高雄市,26,12,7
1050,南樹林,新北市,26,11,5
0980,南港,臺北市,25,8,10
4440,鳳山,高雄市,24,14,4
3390,員林,彰化縣,24,8,7
3230,豐原,臺中市,23,13,6
4420,科工館,高雄市,22,11,5
1170,新豐,新竹縣,22,9,7
1203,竹東,新竹縣,22,9,5
3160,苗栗,苗栗縣,21,7,5
3250,潭子,臺中市,21,9,8
5000,屏東,屏東縣,21,10,5
7000,花蓮,花蓮縣,21,13,7
2230,沙鹿,臺中市,19,5,10
4360,內惟,高雄市,19,6,7
1192,新莊,新竹市,19,8,3
2200,大甲,臺中市,19,7,5
1160,湖口,新竹縣,19,7,2
1110,埔心,桃園市,19,5,7
3470,斗六,雲林縣,18,7,3
1194,六家,新竹縣,18,9,7
4390,三塊厝,高雄市,18,8,6
3330,烏日,臺中市,18,9,6
5050,潮州,屏東縣,17,8,6
0950,五堵,新北市,17,6,7
4310,岡山,高雄市,17,9,4
4350,左營,高雄市,17,7,4
4370,美術館,高雄市,17,11,4
1250,竹南,苗栗縣,16,6,6
1075,鳳鳴,新北市,16,8,0
1120,楊梅,桃園市,16,7,3
4330,楠梓,高雄市,16,9,2
3260,頭家厝,臺中市,16,9,5
1070,鶯歌,新北市,15,6,6
3340,新烏日,臺中市,15,7,6
3480,斗南,雲林縣,15,6,4
1220,三姓橋,新竹市,14,5,3
1193,竹中,新竹縣,14,7,1
7210,礁溪,宜蘭縣,14,6,4
3320,大慶,臺中市,13,5,5
0930,七堵,基隆市,13,4,4
4200,永康,臺南市,13,7,3
4340,新左營,高雄市,12,8,3
0940,百福,基隆市,12,6,2
4450,後庄,高雄市,12,5,4
7360,瑞芳,新北市,11,5,2
3240,栗林,臺中市,11,4,3
4070,嘉北,嘉義市,10,5,3
1202,榮華,新竹縣,10,5,3
2220,清水,臺中市,9,4,3
4050,大林,嘉義縣,9,4,2
3180,銅鑼,苗栗縣,9,3,3
6250,吉安,花蓮縣,9,5,3
2180,苑裡,苗栗縣,9,3,3
4170,善化,臺南市,9,4,2
4300,路竹,高雄市,8,4,2
7230,頭城,宜蘭縣,8,5,1
4190,新市,臺南市,8,6,1
2130,後龍,苗栗縣,7,3,1
7380,四腳亭,新北市,7,2,1
4271,長榮大學,臺南市,7,5,0
4090,水上,嘉義縣,7,3,2
3420,田中,彰化縣,7,3,2
4320,橋頭,高雄市,7,3,2
6110,玉里,花蓮縣,7,6,1
2250,大肚,臺中市,7,2,3
3220,后里,臺中市,7,2,1
4120,新營,臺南市,7,2,3
1191,千甲,新竹市,7,2,2
1201,上員,新竹縣,7,3,3
3370,花壇,彰化縣,7,4,2
7390,暖暖,基隆市,6,3,1
3350,成功,臺中市,6,2,2
3410,社頭,彰化縣,6,3,2
7150,冬山,宜蘭縣,6,4,1
7090,南澳,宜蘭縣,6,3,1
1150,北湖,新竹縣,5,1,1
6070,池上,臺東縣,5,4,1
3430,二水,彰化縣,5,2,0
5120,枋寮,屏東縣,5,3,2
6000,臺東,臺東縣,5,2,2
4060,民雄,嘉義縣,5,3,1
5090,林邊,屏東縣,5,3,1
0920,八堵,基隆市,5,2,1
2170,通霄,苗栗縣,5,3,2
3190,三義,苗栗縣,5,2,1
1130,富岡,桃園市,5,3,1
2260,追分,臺中市,4,3,1
3435,水里,南投縣,4,3,0
3434,集集,南投縣,4,2,1
3432,濁水,南投縣,4,2,1
4150,隆田,臺南市,4,2,1
7120,蘇澳,宜蘭縣,4,1,1
4272,沙崙,臺南市,4,4,0
