station,pop_1km,weekday_stops,pop_per_trip,cvs_1km
正義,75188,93,808.5,26
科工館,70503,100,705.0,22
民族,65248,93,701.6,33
內惟,55863,94,594.3,19
萬華,102956,175,588.3,62
大甲,23483,41,572.8,19
左營,48071,94,511.4,17
五權,57755,116,497.9,30
三塊厝,46794,94,497.8,18
清水,19632,40,490.8,9
吉安,18431,38,485.0,9
沙鹿,19528,41,476.3,19
竹東,17409,38,458.1,22
美術館,41545,94,442.0,17
榮華,15700,38,413.2,10
板橋,120702,318,379.6,76
內壢,52778,145,364.0,38
三坑,37841,106,357.0,40
楠梓,28830,84,343.2,16
基隆,40768,121,336.9,56
大橋,36656,112,327.3,31
苑裡,8946,28,319.5,9
新莊,30792,98,314.2,19
中壢,62752,205,306.1,71
高雄,52894,180,293.9,31
桃園,59139,212,279.0,62
松山,86700,315,275.2,61
鼓山,25770,94,274.1,4
鳳山,50830,188,270.4,24
樹林,68997,260,265.4,41
竹北,35837,139,257.8,34
員林,38586,151,255.5,24
浮洲,42585,167,255.0,32
大慶,31370,125,251.0,13
汐止,58852,240,245.2,41
大肚,9702,40,242.6,7
上員,9216,38,242.5,7
汐科,41273,184,224.3,35
六家,18315,82,223.4,18
岡山,22791,108,211.0,17
豐原,33171,158,209.9,23
羅東,26336,131,201.0,27
北埔,5388,27,199.6,4
花蓮,21473,108,198.8,21
嘉義,35047,180,194.7,36
臺中,36649,190,192.9,43
宜蘭,26524,138,192.2,28
新左營,36448,192,189.8,12
南樹林,24123,130,185.6,26
苗栗,23225,126,184.3,21
北新竹,40189,222,181.0,35
龍井,7205,40,180.1,3
彰化,38767,231,167.8,33
臺北,52992,318,166.6,117
暖暖,11912,73,163.2,6
鳳鳴,21138,130,162.6,16
永康,20770,131,158.5,13
斗六,21810,142,153.6,18
四腳亭,11760,77,152.7,7
通霄,4222,28,150.8,5
新竹,46963,318,147.7,61
五堵,24257,166,146.1,17
千甲,14221,98,145.1,7
竹南,25615,177,144.7,16
埔心,20484,142,144.3,19
濁水,3252,23,141.4,4
屏東,25900,200,129.5,21
鶯歌,19637,155,126.7,15
新豐,16687,132,126.4,22
橋頭,9220,73,126.3,7
臺南,27682,224,123.6,35
田中,15132,123,123.0,7
後庄,10767,88,122.4,12
社頭,10378,85,122.1,6
林邊,7040,58,121.4,5
湖口,15653,139,112.6,19
中里,6798,61,111.4,4
南港,26909,248,108.5,25
楊梅,15376,143,107.5,16
新營,13558,131,103.5,7
冬山,7201,70,102.9,6
路竹,7950,79,100.6,8
集集,2311,23,100.5,4
大林,9071,93,97.5,9
